technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,technology_stBalance,timestep_cyclic,region_disaggregate,region_expansion,,technology_type
miscProHeat,electricHeatPro,eBoilerProHigh,,electricity,processHeat_high,,,mature,none,,,,,,mature
miscProHeat,electricHeatPro,eBoilerProLow,,electricity,processHeat_low,,,stock,none,,,,,,stock
miscProHeat,electricHeatPro,eBoilerProMed,,electricity,processHeat_medium,,,mature,none,,,,,,mature
miscProHeat,gasBoilerPro,gasBoilerProHigh,,naturalGas,processHeat_high,,,stock,none,,,,,,stock
miscProHeat,gasBoilerPro,gasBoilerProLow,,naturalGas,processHeat_low,,,stock,none,,,,,,stock
miscProHeat,gasBoilerPro,gasBoilerProMed,,naturalGas,processHeat_medium,,,mature,none,,,,,,mature
miscProHeat,h2BoilerPro,h2BoilerProHigh,,h2,processHeat_high,,,mature,none,,,,,,mature
miscProHeat,h2BoilerPro,h2BoilerProLow,,h2,processHeat_low,,,stock,none,,,,,,stock
miscProHeat,h2BoilerPro,h2BoilerProMed,,h2,processHeat_medium,,,mature,none,,,,,,mature
miscProHeat,oilBoilerPro,oilBoilerProHigh,,refinedOil,processHeat_high,,,stock,none,,,,,,stock
miscProHeat,oilBoilerPro,oilBoilerProLow,,refinedOil,processHeat_low,,,stock,none,,,,,,stock
miscProHeat,oilBoilerPro,oilBoilerProMed,,refinedOil,processHeat_medium,,,stock,none,,,,,,stock
miscSpaceHeat,,bioBoilerSpace,,solidBiomass,spaceHeat,,,stock,none,,,,,,stock
miscSpaceHeat,,gasBoilerSpace,,naturalGas,spaceHeat,,,stock,none,,,,,,stock
miscSpaceHeat,,resistiveHeatSpace,,electricity,spaceHeat,,,mature,none,,,,,,stock
networkHeat,heatGrid,districtHeatPro,,districtHeat,processHeat_low,,,mature,none,,,,,,mature
networkHeat,districtHeatSpace,districtHeatSpace_a,,districtHeat,spaceHeat,,,mature,none,,,,,,mature
networkHeat,districtHeatSpace,districtHeatSpace_b,,districtHeat,spaceHeat,,,mature,none,,,,,,mature
networkHeat,districtHeatSpace,districtHeatSpace_c,,districtHeat,spaceHeat,,,mature,none,,,,,,mature
networkHeat,,eBoilerDh,,electricity,districtHeat,,,mature,none,,,,,,mature
networkHeat,,gasBoilerDh,,naturalGas,districtHeat,,,mature,none,,,,,,mature
networkHeat,,h2BoilerDh,,h2,districtHeat,,,mature,none,,,,,,mature
networkHeat,,largeWaterTank,,,,districtHeat,districtHeat,mature,none,,3,,,,mature
networkHeat,,nonSolidBioBoilerDh,,nonSolidBiomass,districtHeat,,,stock,none,,,,,,stock
networkHeat,,pitThermalStorage,,,,districtHeat,districtHeat,mature,none,,2,,,,mature
networkHeat,,solidBioBoilerDh,,solidBiomass,districtHeat,,,stock,none,,,,,,stock
ocgt,,ocgtGas,,naturalGas,electricity,,,stock,none,,,,,,stock
ocgt,,ocgtGasChp,,naturalGas,electricity; districtHeat,,,stock,none,,,,,,stock
ocgt,,ocgtH2,,h2,electricity,,,mature,none,,,,,,mature
ocgt,,ocgtH2Chp,,h2,electricity; districtHeat,,,mature,none,,,,,,mature
powerToX,electrolysis,alkElectrolysis,,electricity,h2; districtHeat,,,mature,none,,,,,,mature
powerToX,electrolysis,pemElectrolysis,,electricity,h2; districtHeat,,,stock,none,,,,,,stock
powerToX,h2Storage,h2StorageCavern,,,,h2,h2,mature,none,,inter,,,,mature
powerToX,h2Storage,h2StorageTank,,,,h2,h2,mature,none,,2,,,,mature
powerToX,synthFuel,bioMethanation,,rawBiogas; h2,naturalGas,,,mature,none,,,,,,stock
powerToX,synthFuel,methanePyrolysis,,naturalGas; electricity,h2; processHeat_high,,,stock,none,,,,,,stock
powerToX,,pefc,,h2,electricity; districtHeat,,,stock,none,,,,,,stock
powerToX,,sofc,,naturalGas,electricity; processHeat_high,,,stock,none,,,,,,stock
solar,openspace,pvOpenspace_a,,,electricity,,,mature,none,,,yes,3,,mature
solar,openspace,pvOpenspace_b,,,electricity,,,mature,none,,,yes,3,,mature
solar,rooftopInd,pvInd_a,,,electricity,,,mature,none,,,yes,3,,mature
solar,rooftopInd,pvInd_b,,,electricity,,,mature,none,,,yes,3,,mature
solar,rooftopResi,pvResi,,,electricity,,,mature,none,,,yes,3,,mature
solar,rooftopResi,solarThermalResi,,,spaceHeat,,,stock,none,,,yes,3,,stock
stock,power,pumpedStorageClosed,,,,electricity,electricity,stock,none,,2,,,,stock
stock,power,pumpedStorageOpen,,,,electricity,electricity,stock,none,ineq,inter,yes,3,,stock
stock,power,runOfRiver,,,electricity,,,stock,none,,,yes,3,,stock
transport,bev,bevFrtRoadHeavy,,electricity,frtRoadHeavy,,,mature,none,,3,,,,mature
transport,bev,bevFrtRoadLight,,electricity,frtRoadLight,,,mature,none,,3,,,,mature
transport,bev,bevPsngRoadPrvt,,electricity,psngRoadPrvt,,,mature,none,,3,,,,mature
transport,bev,bevPsngRoadPub,,electricity,psngRoadPub,,,mature,none,,3,,,,mature
transport,,eFrtRail,,electricity,frtRail,,,mature,none,,,,,,mature
transport,,ePsngRail,,electricity,psngRail,,,mature,none,,,,,,mature
wind,offshore,offshore_a,,,electricity,,,mature,none,,,yes,3,,mature
wind,offshore,offshore_b,,,electricity,,,mature,none,,,yes,3,,mature
wind,,onshore,,,electricity,,,mature,none,,,yes,4,,mature
importFuel,,impH2Ship,base; flex,,h2,,,mature,none,,,,,,mature
importFuel,,impH2Pipe,base; flex,,h2,,,mature,none,,,,,,mature
stock,power,reservoir,,,,,electricity,stock,none,ineq,inter,yes,3,,stock
powerToX,,gasStorage,,,,naturalGas,naturalGas,mature,none,,inter,,,,mature
powerToX,,oilStorage,,,,refinedOil,refinedOil,mature,none,,inter,,,,mature
transport,,cngPsngRoadPrvt,,naturalGas,psngRoadPrvt,,,stock,none,,,,,,stock
transport,,dieselFrtRail,,refinedOil,frtRail,,,stock,none,,,,,,stock
transport,,dieselFrtRoadHeavy,,refinedOil,frtRoadHeavy,,,stock,none,,,,,,stock
transport,,dieselFrtRoadLight,,refinedOil,frtRoadLight,,,stock,none,,,,,,stock
transport,,dieselPsngRail,,refinedOil,psngRail,,,stock,none,,,,,,stock
transport,,dieselPsngRoadPub,,refinedOil,psngRoadPub,,,stock,none,,,,,,stock
transport,,fcevPsngRoadPrvt,,h2,psngRoadPrvt,,,stock,none,,,,,,stock
transport,,fcFrtRail,,h2,frtRail,,,stock,none,,,,,,stock
transport,,fcFrtRoadHeavy,,h2,frtRoadHeavy,,,stock,none,,,,,,stock
transport,,fcFrtRoadLight,,h2,frtRoadLight,,,stock,none,,,,,,stock
transport,,fcPsngRail,,h2,psngRail,,,stock,none,,,,,,stock
transport,,fcPsngRoadPub,,h2,psngRoadPub,,,stock,none,,,,,,stock
transport,,ottoPsngRoadPrvt,,refinedOil,psngRoadPrvt,,,stock,none,,,,,,stock
powerToX,,refinery,,rawOil,refinedOil,,,stock,none,,,,,,stock
bioConversion,,hydropyrolysis,,solidBiomass,rawOil,,,mature,none,,,,,,mature
powerToX,,fischerTropsch,,h2; capturedCO2,rawOil; districtHeat,,,mature,none,,,,,,stock
powerToX,,rawOilToHvc,,refinedOil,hvc,,,mature,none,,,,,,mature
powerToX,,methanolToHvc,,methanol,hvc,,,mature,none,,,,,,mature
powerToX,,h2ToMethanol,,h2; processHeat_medium; capturedCO2; electricity,methanol; districtHeat,,,mature,none,,,,,,mature
bioConversion,,h2BiogasToMethanol,,h2; rawBiogas; electricity; processHeat_medium,methanol,,,stock,none,,,,,,stock
bioConversion,,biomassToMethanol,,otherBiomass,methanol; districtHeat,,,mature,none,,,,,,mature
powerToX,,methanolToRawOil,,methanol; h2,rawOil,,,mature,none,,,,,,mature
powerToX,,dummyMethanolDem,,methanol,finalDemMethanol,,,unrestricted,none,,,,,,unrestricted
powerToX,,dummyOilDemand,,refinedOil,finalDemOil,,,unrestricted,none,,,,,,unrestricted
importFuel,,impGas,base; flex,,naturalGas,,,stock,none,,,,,,mature
importFuel,,impOil,base; flex,,rawOil,,,stock,none,,,,,,mature
powerToX,,directAirCapture,,electricity; processHeat_medium,capturedCO2,,,mature,none,,,,,,mature
