technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,technology_stBalance,timestep_cyclic
miscProHeat,electricHeatPro,eBoilerProHigh,,electricity,processHeat_high,,,stock,none,,
miscProHeat,electricHeatPro,eBoilerProLow,,electricity,processHeat_low,,,stock,none,,
miscProHeat,electricHeatPro,eBoilerProMed,,electricity,processHeat_medium,,,stock,none,,
miscProHeat,gasBoilerPro,gasBoilerProHigh,,naturalGas,processHeat_high,,,stock,none,,
miscProHeat,gasBoilerPro,gasBoilerProLow,,naturalGas,processHeat_low,,,stock,none,,
miscProHeat,gasBoilerPro,gasBoilerProMed,,naturalGas,processHeat_medium,,,stock,none,,
miscProHeat,h2BoilerPro,h2BoilerProHigh,,h2,processHeat_high,,,stock,none,,
miscProHeat,h2BoilerPro,h2BoilerProLow,,h2,processHeat_low,,,stock,none,,
miscProHeat,h2BoilerPro,h2BoilerProMed,,h2,processHeat_medium,,,stock,none,,
miscProHeat,oilBoilerPro,oilBoilerProHigh,,refinedOil,processHeat_high,,,stock,none,,
miscProHeat,oilBoilerPro,oilBoilerProLow,,refinedOil,processHeat_low,,,stock,none,,
miscProHeat,oilBoilerPro,oilBoilerProMed,,refinedOil,processHeat_medium,,,stock,none,,
miscSpaceHeat,,bioBoilerSpace,,solidBiomass,spaceHeat,,,stock,none,,
miscSpaceHeat,,gasBoilerSpace,,naturalGas,spaceHeat,,,stock,none,,
miscSpaceHeat,,resistiveHeatSpace,,electricity,spaceHeat,,,stock,none,,
networkHeat,heatGrid,districtHeatPro,,districtHeat,processHeat_low,,,stock,none,,
networkHeat,districtHeatSpace,districtHeatSpace_a,,districtHeat,spaceHeat,,,stock,none,,
networkHeat,districtHeatSpace,districtHeatSpace_b,,districtHeat,spaceHeat,,,stock,none,,
networkHeat,districtHeatSpace,districtHeatSpace_c,,districtHeat,spaceHeat,,,stock,none,,
networkHeat,,eBoilerDh,,electricity,districtHeat,,,mature,none,,
networkHeat,,gasBoilerDh,,naturalGas,districtHeat,,,mature,none,,
networkHeat,,h2BoilerDh,,h2,districtHeat,,,mature,none,,
networkHeat,,largeWaterTank,,,,districtHeat,districtHeat,mature,none,,3
networkHeat,,nonSolidBioBoilerDh,,nonSolidBiomass,districtHeat,,,mature,none,,
networkHeat,,pitThermalStorage,,,,districtHeat,districtHeat,mature,none,,2
networkHeat,,solidBioBoilerDh,,solidBiomass,districtHeat,,,mature,none,,
ocgt,,ocgtGas,,naturalGas,electricity,,,mature,none,,
ocgt,,ocgtGasChp,,naturalGas,electricity; districtHeat,,,mature,none,,
ocgt,,ocgtH2,,h2,electricity,,,mature,none,,
ocgt,,ocgtH2Chp,,h2,electricity; districtHeat,,,mature,none,,
powerToX,electrolysis,alkElectrolysis,,electricity,h2; districtHeat,,,mature,none,,
powerToX,electrolysis,pemElectrolysis,,electricity,h2; districtHeat,,,mature,none,,
powerToX,h2Storage,h2StorageCavern,,,,h2,h2,mature,none,,inter
powerToX,h2Storage,h2StorageTank,,,,h2,h2,mature,none,,2
powerToX,synthFuel,bioMethanation,,rawBiogas; h2,naturalGas,,,mature,none,,
powerToX,synthFuel,methanePyrolysis,,naturalGas; electricity,h2; processHeat_high,,,mature,none,,
powerToX,,directAirCapture,,electricity,capturedCO2,,,mature,none,,
powerToX,,h2ToCrudeOil,,h2; capturedCO2,crudeOil; districtHeat,,,mature,none,,
powerToX,,pefc,,h2,electricity; districtHeat,,,mature,none,,
powerToX,,refinery,,crudeOil,refinedOil,,,stock,none,,
powerToX,,sofc,,naturalGas,electricity; processHeat_high,,,stock,none,,
solar,openspace,pvOpenspace,,,electricity,,,mature,none,,
solar,rooftopInd,pvInd,,,electricity,,,mature,none,,
solar,rooftopResi,pvResi,,,electricity,,,mature,none,,
solar,rooftopResi,solarThermalResi,,,spaceHeat,,,stock,none,,
stock,power,pumpedStorageClosed,,,,electricity,electricity,stock,none,,2
stock,power,pumpedStorageOpen,,,,electricity,electricity,stock,none,ineq,inter
stock,power,runOfRiver,,,electricity,,,stock,none,,
transport,bev,bevFrtRoadHeavy,,electricity,frtRoadHeavy,electricity,,stock,none,,3
transport,bev,bevFrtRoadLight,,electricity,frtRoadLight,electricity,,stock,none,,3
transport,bev,bevPsngRoadPrvt,,electricity,psngRoadPrvt,electricity,,stock,none,,3
transport,bev,bevPsngRoadPub,,electricity,psngRoadPub,electricity,,stock,none,,3
transport,,eFrtRail,,electricity,frtRail,,,stock,none,,
transport,,ePsngRail,,electricity,psngRail,,,stock,none,,
wind,offshore,offshore_a,,,electricity,,,mature,none,,
wind,offshore,offshore_b,,,electricity,,,mature,none,,
wind,onshore,onshore_a,,,electricity,,,mature,none,,
wind,onshore,onshore_b,,,electricity,,,mature,none,,
powerToX,,avaAndNaviTech,,refinedOil,avaAndNavi,,,unrestricted,none,,
importFuel,,impH2Ship,base; flex,,h2,,,mature,none,,
importFuel,,impH2Pipe,base; flex,,h2,,,mature,none,,
importFuel,,impMethane,base; flex,,methane,,,mature,none,,
importFuel,,impMethanol,base; flex,,methanol,,,mature,none,,
importFuel,,impGas,base; flex,,naturalGas,,,mature,none,,
importFuel,,impOil,base; flex,,crudeOil,,,mature,none,,
importFuel,,methaneToGas,,methane,naturalGas,,,unrestricted,none,,
importFuel,,methanolToOil,,methanol,crudeOil,,,unrestricted,none,,
stock,power,reservoir,,,,,electricity,stock,none,ineq,inter
powerToX,,gasStorage,,,,naturalGas,naturalGas,mature,none,,inter
powerToX,,oilStorage,,,,refinedOil,refinedOil,mature,none,,inter
